county_code,county_name,city,postal_code,crime_risk,hail_risk,flood_risk,wind_risk,fire_risk,dist_fire_station_km,dist_hydrant_km,dist_police_km,dist_coast_km,dist_danube_km
IF,Ilfov,Voluntari,251214,0.462,0.313,0.318,0.326,0.298,0.87,5.4,4.86,217.42,192.32
IS,Iasi,Pascani,612934,0.609,0.385,0.372,0.401,0.43,0.59,0.42,1.18,146.29,114.26
CJ,Cluj,Dej,914830,0.533,0.38,0.269,0.346,0.412,1.7,0.57,1.86,531.41,162.35
CS,Caras-Severin,Caransebes,722172,0.134,0.331,0.188,0.212,0.225,0.24,1.25,11.57,549.84,283.91
BV,Brasov,Sacele,765845,0.32,0.644,0.334,0.509,0.494,0.25,0.4,1.9,537.47,80.32
TM,Timis,Timisoara,541738,0.453,0.457,0.298,0.366,0.394,0.58,0.24,0.4,555.18,109.56
HD,Hunedoara,Hunedoara,239314,0.323,0.574,0.278,0.443,0.443,0.1,3.3,3.07,357.18,128.67
BZB,Bucuresti,Sector 5,328354,0.628,0.355,0.254,0.354,0.3,0.15,0.24,2.22,359.43,311.15
CJ,Cluj,Cluj-Napoca,276370,0.546,0.366,0.246,0.32,0.381,0.16,0.64,0.93,509.65,392.89
IF,Ilfov,Voluntari,436919,0.517,0.318,0.331,0.424,0.317,0.14,4.61,0.38,455.0,119.64
BZB,Bucuresti,Sector 4,305161,0.577,0.332,0.205,0.364,0.322,0.13,0.35,1.02,183.44,331.96
SB,Sibiu,Sibiu,250137,0.284,0.472,0.298,0.422,0.412,0.24,2.04,12.37,151.88,225.88
BC,Bacau,Moinesti,153881,0.398,0.42,0.342,0.456,0.386,0.14,7.5,3.86,256.66,149.14
AR,Arad,Arad,704619,0.414,0.42,0.368,0.397,0.39,0.19,0.91,18.0,345.11,55.39
CJ,Cluj,Dej,814070,0.495,0.365,0.239,0.422,0.426,1.38,0.7,2.26,359.29,318.47
DB,Dambovita,Targoviste,882559,0.391,0.39,0.374,0.385,0.419,0.38,1.6,2.08,91.0,344.18
BC,Bacau,Onesti,400897,0.416,0.429,0.452,0.438,0.378,0.27,5.78,3.07,482.48,155.56
CT,Constanta,Mangalia,443278,0.362,0.268,0.62,0.669,0.39,0.08,6.45,18.0,22.39,18.31
HD,Hunedoara,Hunedoara,858893,0.335,0.631,0.356,0.453,0.377,1.21,2.42,1.9,136.39,103.76
TM,Timis,Timisoara,687042,0.595,0.439,0.267,0.434,0.358,0.09,0.3,0.63,404.57,91.64
TM,Timis,Sannicolau Mare,564203,0.456,0.436,0.299,0.398,0.374,0.07,0.19,2.3,564.61,335.9
IF,Ilfov,Voluntari,619044,0.53,0.388,0.307,0.371,0.318,0.08,4.9,10.76,299.94,186.26
BV,Brasov,Sacele,275356,0.264,0.686,0.311,0.512,0.425,0.18,7.5,18.0,211.07,327.77
AB,Alba,Aiud,581707,0.347,0.606,0.358,0.399,0.47,0.06,7.5,1.03,430.97,83.57
MH,Mehedinti,Drobeta-Turnu Severin,160466,0.178,0.186,0.281,0.212,0.182,0.34,1.72,8.96,97.25,2.79
TM,Timis,Sannicolau Mare,928793,0.468,0.361,0.282,0.455,0.357,0.09,0.36,1.44,197.61,275.59
PH,Prahova,Sinaia,121398,0.457,0.341,0.262,0.298,0.421,0.07,0.25,1.01,162.82,223.24
BN,Bistrita-Nasaud,Nasaud,895437,0.163,0.292,0.185,0.193,0.244,2.56,3.98,6.2,485.21,172.91
CJ,Cluj,Cluj-Napoca,243535,0.477,0.399,0.286,0.324,0.323,0.32,0.85,0.91,473.89,179.09
VL,Valcea,Ramnicu Valcea,143599,0.399,0.434,0.354,0.367,0.334,0.1,5.21,4.95,502.89,124.61
BH,Bihor,Alesd,210729,0.38,0.452,0.344,0.409,0.386,0.21,1.89,1.03,101.38,68.97
IS,Iasi,Pascani,974430,0.628,0.404,0.352,0.393,0.42,0.16,0.8,1.47,193.0,369.07
DB,Dambovita,Gaesti,575857,0.439,0.348,0.429,0.405,0.421,0.36,6.94,7.07,99.01,353.72
BH,Bihor,Alesd,777772,0.427,0.364,0.312,0.375,0.349,0.27,1.97,10.25,140.79,207.45
TM,Timis,Sannicolau Mare,306127,0.499,0.348,0.314,0.453,0.366,0.11,0.46,3.68,512.92,283.22
CT,Constanta,Medgidia,423042,0.415,0.274,0.582,0.648,0.305,0.8,0.86,14.08,17.03,13.95
IF,Ilfov,Otopeni,649474,0.462,0.335,0.332,0.344,0.344,0.53,0.99,9.76,558.91,351.99
SJ,Salaj,Zalau,205970,0.336,0.457,0.309,0.446,0.417,0.39,4.04,17.43,345.69,355.01
CJ,Cluj,Dej,817719,0.528,0.397,0.269,0.327,0.386,0.46,0.21,0.63,224.0,266.31
GL,Galati,Galati,860181,0.416,0.388,0.485,0.394,0.372,0.56,0.43,4.76,124.57,20.9
CJ,Cluj,Dej,887419,0.508,0.381,0.295,0.336,0.4,0.61,0.14,2.42,426.21,264.55
GL,Galati,Galati,782348,0.46,0.397,0.466,0.421,0.367,0.69,7.39,18.0,532.61,5.0
AG,Arges,Pitesti,194957,0.413,0.391,0.341,0.378,0.407,3.3,2.85,16.57,296.94,345.42
BZB,Bucuresti,Sector 3,717766,0.661,0.304,0.213,0.311,0.302,0.09,0.31,1.53,311.1,112.86
CT,Constanta,Medgidia,869258,0.355,0.265,0.574,0.574,0.298,0.29,2.84,12.14,1.43,24.83
OT,Olt,Caracal,679218,0.427,0.389,0.335,0.408,0.382,0.07,2.69,15.33,289.91,88.17
SJ,Salaj,Zalau,973639,0.374,0.469,0.322,0.389,0.374,0.1,3.24,0.41,143.42,248.62
SB,Sibiu,Medias,153446,0.351,0.582,0.277,0.46,0.438,1.04,6.12,0.94,357.44,105.62
BH,Bihor,Salonta,886063,0.428,0.386,0.35,0.399,0.383,0.82,4.58,4.92,334.59,116.98
NT,Neamt,Roman,162203,0.372,0.465,0.362,0.404,0.487,0.09,2.64,18.0,111.44,105.2
TR,Teleorman,Turnu Magurele,114090,0.457,0.377,0.32,0.409,0.344,0.14,2.16,7.65,394.57,131.05
CT,Constanta,Medgidia,288280,0.428,0.234,0.54,0.667,0.359,0.11,3.58,4.68,19.2,23.66
GL,Galati,Tecuci,671873,0.486,0.404,0.498,0.416,0.333,0.06,4.93,2.63,334.41,10.01
BT,Botosani,Dorohoi,361163,0.382,0.488,0.389,0.392,0.438,0.66,1.43,8.51,90.19,224.7
TM,Timis,Timisoara,227324,0.532,0.383,0.273,0.35,0.35,0.17,0.44,1.32,369.29,269.37
TM,Timis,Timisoara,608010,0.545,0.39,0.286,0.37,0.356,1.94,0.55,0.98,305.69,350.41
TR,Teleorman,Alexandria,474386,0.451,0.347,0.369,0.32,0.361,0.05,3.69,7.34,297.03,206.27
GJ,Gorj,Motru,185274,0.35,0.428,0.41,0.328,0.354,0.36,7.5,7.56,521.48,179.07
HR,Harghita,Odorheiu Secuiesc,345157,0.341,0.601,0.402,0.512,0.418,0.14,4.37,10.87,509.52,307.8
BC,Bacau,Bacau,490347,0.428,0.402,0.436,0.426,0.406,0.49,4.3,4.08,283.88,247.76
CT,Constanta,Medgidia,810979,0.389,0.224,0.67,0.56,0.329,0.19,7.46,16.25,14.97,4.37
IS,Iasi,Iasi,109622,0.612,0.371,0.368,0.336,0.402,0.1,0.28,0.1,352.58,48.82
BZ,Buzau,Ramnicul Sarat,737992,0.449,0.378,0.363,0.34,0.39,0.22,3.54,18.0,401.55,390.42
BC,Bacau,Moinesti,718951,0.435,0.42,0.409,0.418,0.396,0.35,2.67,11.18,578.71,226.76
CJ,Cluj,Cluj-Napoca,327893,0.565,0.392,0.296,0.331,0.415,0.06,1.32,1.28,83.53,131.6
IF,Ilfov,Voluntari,446379,0.473,0.394,0.378,0.423,0.351,0.27,0.25,2.49,249.34,195.12
CL,Calarasi,Calarasi,343778,0.408,0.335,0.529,0.403,0.341,0.81,6.1,0.3,504.77,24.49
HD,Hunedoara,Petrosani,908458,0.341,0.516,0.285,0.394,0.363,0.08,4.15,8.97,177.45,32.2
BZB,Bucuresti,Sector 4,256608,0.579,0.31,0.234,0.336,0.338,0.85,0.61,3.34,204.31,43.62
BZB,Bucuresti,Sector 5,828467,0.722,0.297,0.218,0.321,0.369,0.69,1.38,0.38,232.45,208.74
VN,Vrancea,Focsani,265883,0.447,0.39,0.393,0.422,0.427,0.72,5.5,16.41,314.12,386.24
DB,Dambovita,Targoviste,267474,0.426,0.407,0.327,0.372,0.322,0.33,3.16,10.06,158.57,32.44
IF,Ilfov,Chitila,772618,0.438,0.39,0.368,0.396,0.368,0.12,2.11,4.95,322.76,192.89
CV,Covasna,Targu Secuiesc,673025,0.292,0.579,0.309,0.495,0.485,0.14,5.36,8.77,317.82,295.93
OT,Olt,Slatina,599033,0.448,0.378,0.425,0.381,0.392,0.6,6.49,5.52,302.92,200.43
BZB,Bucuresti,Sector 5,726432,0.647,0.299,0.197,0.352,0.318,0.18,0.18,0.79,408.56,196.45
CV,Covasna,Sfantu Gheorghe,573146,0.283,0.53,0.31,0.449,0.401,0.12,4.21,3.24,286.12,140.42
DJ,Dolj,Craiova,467816,0.429,0.335,0.334,0.422,0.374,0.14,1.57,8.7,195.07,321.19
OT,Olt,Slatina,856301,0.427,0.336,0.329,0.399,0.339,0.06,2.15,8.87,255.26,156.69
BC,Bacau,Onesti,484387,0.475,0.345,0.34,0.344,0.364,0.23,4.83,18.0,519.4,333.06
TM,Timis,Lugoj,132167,0.579,0.446,0.28,0.411,0.374,0.49,0.72,0.79,163.61,161.83
IF,Ilfov,Voluntari,374288,0.476,0.349,0.299,0.369,0.301,0.68,2.92,6.33,284.93,65.86
AR,Arad,Ineu,103886,0.45,0.421,0.352,0.415,0.393,0.07,5.66,1.04,218.6,325.06
AB,Alba,Sebes,182664,0.353,0.532,0.277,0.469,0.418,1.61,4.78,0.71,571.73,328.06
DJ,Dolj,Bailesti,530956,0.449,0.394,0.344,0.32,0.384,0.17,7.5,1.89,223.88,318.91
IL,Ialomita,Fetesti,929021,0.451,0.365,0.369,0.352,0.319,0.63,3.53,13.62,164.53,231.3
BH,Bihor,Salonta,490771,0.456,0.417,0.283,0.393,0.321,0.26,1.03,4.9,280.4,328.02
DJ,Dolj,Craiova,348956,0.41,0.401,0.405,0.416,0.34,0.58,1.39,18.0,382.55,347.12
TR,Teleorman,Turnu Magurele,336150,0.387,0.362,0.375,0.348,0.302,1.04,5.92,5.36,592.0,344.35
BZB,Bucuresti,Sector 4,313890,0.674,0.297,0.23,0.337,0.334,0.08,0.48,2.8,201.83,301.78
GL,Galati,Galati,697913,0.369,0.363,0.445,0.47,0.413,0.24,0.95,6.27,482.86,4.58
IS,Iasi,Iasi,199632,0.471,0.329,0.284,0.325,0.356,0.42,0.22,1.67,144.6,164.23
BV,Brasov,Fagaras,588173,0.341,0.574,0.308,0.507,0.479,0.28,4.32,3.92,470.96,286.27
SM,Satu Mare,Satu Mare,774708,0.403,0.382,0.347,0.354,0.312,0.21,7.5,5.21,143.27,171.8
SV,Suceava,Suceava,144930,0.384,0.49,0.336,0.491,0.405,0.14,7.5,13.99,222.49,129.84
DJ,Dolj,Bailesti,449193,0.414,0.364,0.353,0.349,0.335,0.05,7.5,2.21,345.63,269.45
BZB,Bucuresti,Sector 5,217747,0.58,0.31,0.254,0.385,0.362,0.2,0.19,1.62,486.0,243.2
BZB,Bucuresti,Sector 2,513970,0.656,0.31,0.211,0.348,0.331,0.52,0.94,0.11,429.82,85.21
IF,Ilfov,Voluntari,938185,0.524,0.359,0.348,0.413,0.397,0.19,0.3,12.81,511.22,141.18
VN,Vrancea,Adjud,485626,0.488,0.353,0.333,0.426,0.383,0.05,0.51,11.07,171.16,94.25
SM,Satu Mare,Carei,413681,0.454,0.387,0.352,0.344,0.384,0.25,3.68,8.68,457.29,129.38
BZB,Bucuresti,Sector 5,981988,0.732,0.361,0.216,0.386,0.331,0.05,0.19,2.88,532.73,352.9
DJ,Dolj,Bailesti,864517,0.465,0.369,0.367,0.357,0.32,1.05,1.29,3.72,522.16,326.3
SV,Suceava,Suceava,110192,0.369,0.454,0.407,0.465,0.458,0.92,4.84,6.62,170.5,46.13
BV,Brasov,Brasov,461205,0.277,0.523,0.335,0.5,0.49,0.07,2.61,7.11,584.33,167.88
BZB,Bucuresti,Sector 3,288971,0.625,0.287,0.202,0.379,0.354,0.19,0.48,2.39,382.4,346.12
IL,Ialomita,Fetesti,994209,0.401,0.358,0.333,0.353,0.35,0.06,0.37,7.84,138.13,87.04
VS,Vaslui,Vaslui,348077,0.378,0.422,0.394,0.378,0.35,0.23,4.94,10.99,108.34,304.78
SB,Sibiu,Sibiu,791011,0.278,0.615,0.289,0.484,0.37,1.51,3.46,5.25,99.56,264.05
MH,Mehedinti,Drobeta-Turnu Severin,314244,0.201,0.168,0.282,0.256,0.19,1.02,7.5,18.0,551.59,2.03
BH,Bihor,Oradea,541336,0.394,0.393,0.329,0.405,0.389,0.26,2.04,5.0,240.82,32.37
BZB,Bucuresti,Sector 5,139802,0.711,0.308,0.22,0.385,0.342,0.06,0.48,1.48,307.64,259.48
DJ,Dolj,Bailesti,451525,0.406,0.391,0.321,0.424,0.335,0.24,7.5,1.67,452.66,175.2
TR,Teleorman,Alexandria,253164,0.367,0.354,0.343,0.401,0.308,0.06,4.41,1.61,144.09,38.55
HR,Harghita,Odorheiu Secuiesc,190735,0.325,0.523,0.394,0.481,0.477,0.06,0.8,5.45,251.49,130.89
BZB,Bucuresti,Sector 1,345395,0.602,0.311,0.212,0.342,0.363,0.33,0.1,0.94,192.92,146.8
HD,Hunedoara,Petrosani,744675,0.292,0.616,0.308,0.487,0.398,0.57,2.99,18.0,472.05,246.83
CJ,Cluj,Turda,333880,0.574,0.479,0.245,0.342,0.331,0.1,0.57,0.6,585.4,134.24
HD,Hunedoara,Hunedoara,576395,0.296,0.588,0.333,0.376,0.475,0.27,4.0,2.02,203.53,148.13
GJ,Gorj,Motru,716652,0.369,0.433,0.319,0.338,0.425,0.79,1.58,18.0,537.68,292.9
HD,Hunedoara,Hunedoara,165848,0.288,0.468,0.311,0.364,0.417,0.23,7.5,18.0,589.51,194.51
VS,Vaslui,Vaslui,443264,0.441,0.373,0.396,0.42,0.368,1.45,2.71,10.59,539.14,299.85
BZB,Bucuresti,Sector 1,363233,0.733,0.354,0.249,0.37,0.312,0.68,0.14,2.19,153.81,186.21
NT,Neamt,Piatra Neamt,974615,0.394,0.471,0.326,0.425,0.399,0.24,2.99,10.84,81.56,205.66
BC,Bacau,Onesti,259391,0.516,0.441,0.432,0.42,0.346,0.23,5.61,14.63,87.12,123.4
CV,Covasna,Sfantu Gheorghe,517411,0.255,0.612,0.318,0.463,0.415,0.09,7.5,9.96,504.65,106.38
IF,Ilfov,Voluntari,502852,0.525,0.344,0.397,0.392,0.356,0.1,2.49,2.96,477.28,373.59
CL,Calarasi,Calarasi,896274,0.442,0.388,0.509,0.372,0.39,0.21,7.5,8.14,345.91,11.0
VN,Vrancea,Focsani,111716,0.371,0.355,0.338,0.365,0.453,0.62,3.3,9.61,383.41,346.31
AR,Arad,Ineu,981771,0.456,0.343,0.325,0.388,0.324,0.35,1.28,8.13,527.62,260.11
PH,Prahova,Campina,159688,0.532,0.389,0.298,0.359,0.428,0.45,0.92,1.53,423.66,290.55
MS,Mures,Sighisoara,370330,0.321,0.439,0.318,0.456,0.403,0.65,6.49,3.65,565.08,35.76
IF,Ilfov,Chitila,439459,0.498,0.321,0.398,0.356,0.395,0.29,4.52,1.94,446.33,244.41
MM,Maramures,Baia Mare,764330,0.34,0.528,0.331,0.393,0.435,0.4,7.5,1.31,521.48,289.79
TR,Teleorman,Alexandria,415324,0.44,0.395,0.351,0.327,0.315,0.48,2.22,10.93,236.77,222.91
BZB,Bucuresti,Sector 3,281210,0.695,0.282,0.209,0.305,0.332,0.23,0.8,1.45,572.54,141.57
BC,Bacau,Bacau,198802,0.498,0.442,0.397,0.358,0.403,0.33,1.59,10.01,588.75,100.33
BZB,Bucuresti,Sector 4,510960,0.708,0.36,0.229,0.304,0.325,0.41,0.67,1.99,205.33,336.51
GL,Galati,Tecuci,346589,0.413,0.422,0.452,0.385,0.359,0.1,6.84,6.4,182.14,10.07
SJ,Salaj,Zalau,592048,0.322,0.411,0.373,0.412,0.393,0.66,3.85,2.78,372.01,30.52
DB,Dambovita,Gaesti,337965,0.418,0.406,0.382,0.336,0.352,0.05,6.86,15.44,495.45,171.34
BC,Bacau,Moinesti,455719,0.512,0.356,0.436,0.342,0.384,0.09,0.35,10.91,387.38,198.58
CV,Covasna,Targu Secuiesc,827448,0.259,0.674,0.36,0.468,0.442,0.08,1.62,18.0,363.93,201.72
GR,Giurgiu,Giurgiu,435440,0.461,0.36,0.425,0.458,0.348,0.18,2.47,8.58,307.44,7.81
AB,Alba,Sebes,543649,0.307,0.539,0.277,0.412,0.421,0.51,1.07,9.33,525.49,261.51
BZB,Bucuresti,Sector 5,742073,0.72,0.284,0.21,0.359,0.352,0.16,0.29,2.31,402.6,397.48
DB,Dambovita,Targoviste,204665,0.356,0.392,0.409,0.37,0.388,0.08,6.26,6.5,323.67,189.28
MS,Mures,Sighisoara,558590,0.4,0.56,0.281,0.355,0.348,0.23,0.43,4.17,474.54,339.23
DJ,Dolj,Bailesti,884433,0.487,0.399,0.402,0.361,0.321,1.07,0.78,18.0,500.71,216.89
GR,Giurgiu,Giurgiu,466719,0.408,0.358,0.542,0.476,0.386,0.28,2.37,11.39,332.75,17.62
CT,Constanta,Mangalia,986280,0.43,0.239,0.641,0.661,0.3,0.14,5.87,18.0,18.69,1.82
BN,Bistrita-Nasaud,Bistrita,447424,0.145,0.342,0.177,0.212,0.219,0.86,2.4,0.58,504.62,249.33
SM,Satu Mare,Carei,605961,0.398,0.408,0.338,0.368,0.396,0.16,6.23,17.87,151.25,83.48
VS,Vaslui,Barlad,963884,0.394,0.388,0.371,0.424,0.407,0.17,2.02,6.91,421.47,337.09
IF,Ilfov,Otopeni,608378,0.536,0.313,0.335,0.407,0.33,0.55,3.5,9.93,237.57,80.57
TL,Tulcea,Tulcea,840816,0.374,0.273,0.714,0.57,0.399,0.74,7.5,18.0,8.61,23.63
CJ,Cluj,Cluj-Napoca,514890,0.501,0.406,0.264,0.365,0.358,0.08,0.98,1.96,341.81,218.41
CS,Caras-Severin,Caransebes,454469,0.129,0.328,0.194,0.208,0.216,0.44,4.32,2.47,115.77,147.48
CJ,Cluj,Turda,342276,0.464,0.488,0.272,0.332,0.429,0.1,0.28,2.04,457.09,126.36
CL,Calarasi,Calarasi,918859,0.424,0.376,0.483,0.364,0.298,0.12,4.27,6.3,414.21,17.52
CL,Calarasi,Oltenita,149047,0.398,0.352,0.488,0.448,0.355,0.16,2.74,8.27,154.36,6.54
VS,Vaslui,Vaslui,823750,0.448,0.377,0.353,0.422,0.419,0.42,5.04,4.72,292.35,311.75
IF,Ilfov,Otopeni,898867,0.434,0.335,0.368,0.325,0.333,0.37,7.5,9.28,435.82,170.55
TM,Timis,Timisoara,135179,0.475,0.35,0.253,0.452,0.385,0.13,0.59,1.99,90.39,355.65
AG,Arges,Pitesti,979594,0.439,0.391,0.327,0.409,0.348,6.4,7.5,18.0,442.25,146.94
IF,Ilfov,Chitila,392283,0.438,0.367,0.333,0.325,0.399,0.15,3.01,17.96,485.12,130.8
CT,Constanta,Medgidia,883595,0.347,0.236,0.643,0.538,0.398,0.19,3.87,6.77,4.14,6.17
BV,Brasov,Sacele,828648,0.271,0.628,0.402,0.497,0.515,0.16,7.5,5.5,149.1,314.26
CJ,Cluj,Turda,366386,0.477,0.476,0.268,0.394,0.419,0.05,0.44,1.95,113.93,39.27
BZB,Bucuresti,Sector 6,351104,0.67,0.353,0.206,0.322,0.356,0.35,0.1,1.51,369.27,31.79
OT,Olt,Caracal,151584,0.368,0.373,0.409,0.413,0.368,0.11,1.47,2.89,294.99,217.3
PH,Prahova,Campina,115102,0.476,0.393,0.308,0.394,0.394,0.24,0.92,2.93,411.2,226.47
TM,Timis,Timisoara,221093,0.536,0.368,0.278,0.428,0.35,0.11,1.01,0.13,97.07,304.35
TL,Tulcea,Tulcea,762512,0.417,0.248,0.714,0.577,0.34,0.43,0.65,2.25,13.28,13.1
SB,Sibiu,Medias,277968,0.369,0.581,0.372,0.393,0.388,0.82,6.05,5.21,416.17,359.36
BV,Brasov,Brasov,967950,0.304,0.526,0.321,0.448,0.461,0.25,5.13,2.74,121.45,157.54
AR,Arad,Ineu,471311,0.351,0.374,0.3,0.448,0.391,1.09,7.5,4.56,494.45,53.84
SB,Sibiu,Medias,960974,0.301,0.51,0.33,0.45,0.382,0.48,3.73,18.0,121.81,383.17
BZB,Bucuresti,Sector 2,729181,0.612,0.341,0.245,0.31,0.358,0.39,0.92,1.64,161.09,189.45
NT,Neamt,Roman,176340,0.419,0.449,0.356,0.49,0.414,0.07,7.5,4.95,550.16,73.64
OT,Olt,Caracal,921750,0.468,0.38,0.32,0.37,0.31,1.29,4.65,4.93,277.01,76.38
VL,Valcea,Ramnicu Valcea,750408,0.35,0.378,0.4,0.311,0.365,0.1,1.87,14.68,265.45,274.07
AR,Arad,Ineu,368338,0.354,0.374,0.287,0.345,0.401,0.1,3.02,7.07,585.72,37.81
BT,Botosani,Botosani,362092,0.425,0.427,0.326,0.376,0.351,0.52,2.59,7.55,491.83,219.04
BZB,Bucuresti,Sector 6,166727,0.632,0.335,0.246,0.391,0.397,0.43,0.74,2.9,558.52,330.04
IS,Iasi,Iasi,669428,0.492,0.364,0.29,0.326,0.421,0.13,1.35,1.43,165.61,227.41
SB,Sibiu,Sibiu,405489,0.324,0.603,0.366,0.464,0.483,0.22,2.38,12.41,508.02,268.14
TM,Timis,Sannicolau Mare,166754,0.558,0.42,0.238,0.395,0.301,0.52,0.25,1.72,156.85,343.61
IL,Ialomita,Slobozia,760802,0.432,0.366,0.379,0.382,0.376,0.07,1.59,5.62,266.43,147.26
VL,Valcea,Dragasani,522729,0.392,0.485,0.328,0.362,0.33,0.22,5.36,0.5,298.15,119.54
PH,Prahova,Campina,943325,0.503,0.439,0.343,0.337,0.421,0.1,0.26,2.93,540.7,311.63
TM,Timis,Sannicolau Mare,247063,0.497,0.457,0.288,0.433,0.388,0.18,1.0,1.06,210.58,224.26
GL,Galati,Galati,358296,0.474,0.383,0.484,0.425,0.424,0.1,2.91,2.48,219.51,12.82
HR,Harghita,Odorheiu Secuiesc,457606,0.297,0.612,0.369,0.424,0.421,0.73,3.8,2.49,589.23,336.44
BN,Bistrita-Nasaud,Nasaud,493424,0.132,0.343,0.162,0.228,0.207,0.77,5.4,15.35,184.47,311.98
NT,Neamt,Roman,337272,0.32,0.568,0.369,0.414,0.372,0.14,1.35,5.92,448.2,297.69
IS,Iasi,Iasi,270934,0.632,0.351,0.282,0.322,0.355,0.06,1.04,0.41,424.1,300.21
IS,Iasi,Iasi,890728,0.534,0.353,0.286,0.382,0.372,0.09,0.76,1.64,168.32,309.85
BC,Bacau,Bacau,189298,0.421,0.458,0.397,0.413,0.417,0.33,2.14,18.0,378.12,196.26
MS,Mures,Targu Mures,915847,0.3,0.531,0.331,0.403,0.441,0.1,2.85,2.73,243.85,358.57
CJ,Cluj,Turda,100421,0.521,0.403,0.312,0.34,0.4,0.41,0.9,0.46,524.35,266.24
VN,Vrancea,Adjud,803738,0.463,0.354,0.341,0.355,0.45,0.06,0.36,3.89,341.57,81.46
SV,Suceava,Falticeni,552411,0.405,0.53,0.416,0.402,0.374,1.08,2.03,18.0,306.04,301.89
HR,Harghita,Miercurea Ciuc,316980,0.303,0.649,0.323,0.53,0.479,0.15,0.2,5.58,599.58,385.59
AR,Arad,Lipova,855835,0.427,0.371,0.309,0.369,0.385,0.06,3.75,8.79,511.61,375.57
GL,Galati,Tecuci,893718,0.471,0.395,0.514,0.466,0.372,0.62,7.5,18.0,280.36,6.75
BZ,Buzau,Ramnicul Sarat,956465,0.443,0.411,0.361,0.414,0.412,0.96,4.9,1.29,347.06,137.94
IF,Ilfov,Voluntari,996110,0.419,0.383,0.355,0.342,0.378,1.32,2.84,0.42,447.0,63.04
BH,Bihor,Oradea,858935,0.446,0.364,0.306,0.422,0.304,0.06,0.2,9.93,585.88,225.72
AG,Arges,Curtea de Arges,995760,0.453,0.357,0.325,0.324,0.412,0.21,1.54,5.52,206.41,212.88
CV,Covasna,Sfantu Gheorghe,295826,0.311,0.647,0.334,0.402,0.431,0.4,5.53,3.77,405.93,114.86
MS,Mures,Reghin,824113,0.318,0.438,0.282,0.384,0.425,0.05,4.44,0.2,144.55,365.42
CJ,Cluj,Turda,517661,0.566,0.395,0.3,0.32,0.373,0.15,1.42,1.06,147.38,372.59
GJ,Gorj,Targu Jiu,653042,0.349,0.396,0.336,0.395,0.353,0.96,1.16,8.36,512.86,238.2
CJ,Cluj,Cluj-Napoca,371611,0.496,0.395,0.278,0.383,0.406,0.68,0.32,0.57,337.21,68.75
DB,Dambovita,Targoviste,871526,0.45,0.44,0.4,0.361,0.385,0.12,2.79,17.82,422.93,150.3
BV,Brasov,Brasov,556590,0.276,0.559,0.321,0.5,0.482,0.42,3.24,18.0,572.41,317.14
TL,Tulcea,Tulcea,798194,0.446,0.225,0.662,0.655,0.321,0.1,7.5,8.94,19.03,1.64
BZB,Bucuresti,Sector 1,607132,0.686,0.349,0.21,0.306,0.304,0.08,1.08,1.27,106.04,230.64
DJ,Dolj,Bailesti,805121,0.417,0.361,0.354,0.382,0.367,0.16,6.05,4.55,123.84,351.35
SV,Suceava,Suceava,114268,0.313,0.511,0.313,0.383,0.478,0.05,6.92,12.36,485.66,301.83
IS,Iasi,Iasi,957191,0.605,0.378,0.302,0.319,0.359,0.06,0.89,0.54,511.64,178.68
SV,Suceava,Suceava,852170,0.371,0.516,0.329,0.414,0.432,0.08,3.26,5.92,457.97,41.49
BZB,Bucuresti,Sector 1,955313,0.741,0.303,0.224,0.33,0.393,0.24,0.25,1.08,493.11,155.0
IF,Ilfov,Otopeni,535586,0.493,0.351,0.402,0.376,0.365,0.2,4.63,1.57,89.19,91.57
AB,Alba,Sebes,571258,0.315,0.559,0.292,0.443,0.483,0.6,1.57,6.85,524.3,280.04
OT,Olt,Caracal,153566,0.389,0.314,0.417,0.339,0.305,0.48,7.5,9.24,327.77,323.04
CT,Constanta,Mangalia,273700,0.424,0.254,0.689,0.65,0.327,0.86,4.83,15.32,20.97,12.59
VL,Valcea,Ramnicu Valcea,366606,0.351,0.362,0.333,0.326,0.392,0.08,7.39,14.5,419.36,148.33
BZB,Bucuresti,Sector 3,417036,0.675,0.277,0.192,0.396,0.327,0.06,0.42,0.51,167.17,297.48
IF,Ilfov,Chitila,671468,0.462,0.318,0.397,0.338,0.325,0.08,2.39,0.41,140.54,352.86
IS,Iasi,Iasi,670030,0.521,0.321,0.335,0.407,0.392,0.06,1.48,1.11,82.7,193.71
BZ,Buzau,Ramnicul Sarat,694074,0.43,0.431,0.388,0.366,0.354,0.52,7.5,0.61,443.4,342.75
BZB,Bucuresti,Sector 5,725297,0.66,0.32,0.243,0.331,0.354,0.25,0.75,0.14,188.25,85.32
TM,Timis,Sannicolau Mare,411197,0.586,0.449,0.302,0.356,0.308,0.2,1.28,1.75,380.46,349.76
IS,Iasi,Iasi,402620,0.592,0.403,0.353,0.41,0.363,0.71,0.66,1.02,317.6,388.77
CT,Constanta,Mangalia,237674,0.373,0.222,0.621,0.562,0.37,0.37,0.68,18.0,23.15,21.76
BH,Bihor,Oradea,588437,0.448,0.396,0.351,0.414,0.334,0.07,3.52,2.19,386.88,224.25
AR,Arad,Arad,898924,0.38,0.391,0.324,0.368,0.301,0.21,1.01,5.22,169.5,77.61
AR,Arad,Arad,700023,0.361,0.438,0.356,0.405,0.333,0.12,3.17,0.58,404.78,299.16
